# taring - hands off
"# ambient_hPa,1019.87"
"# ambient_C,18.97"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,20.00"
"# plenum_C_end,19.75"
"# tank_C_end,20.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.50,0.01,0.15
3,0,-0.02,0.03,0.15
54,0,-0.37,-0.05,-0.03
144,0,-0.60,-0.04,-0.03
235,0,-0.48,-0.03,-0.03
324,0,-1.78,-0.04,0.15
414,0,-1.72,0.10,-0.03
503,1,0.79,0.04,7.30
593,1,47.49,-1.61,3.27
683,1,132.88,-5.23,0.88
772,1,154.36,-9.67,0.33
862,1,152.43,-13.87,0.33
952,1,150.61,-15.64,0.33
1041,1,150.98,-15.96,0.15
1132,1,150.43,-16.33,0.33
1221,1,149.56,-16.54,-0.22
1311,1,148.75,-16.89,0.15
1401,1,148.13,-17.10,0.33
1490,1,147.30,-17.30,0.33
1580,1,146.78,-17.16,0.33
1669,1,147.80,-17.36,0.15
1759,1,146.54,-17.49,0.15
1848,1,146.04,-17.71,0.33
1938,1,146.18,-17.79,0.15
2029,1,146.33,-17.97,0.33
2118,1,146.49,-18.04,0.15
2208,1,146.29,-18.16,0.15
2297,1,145.87,-18.31,0.33
2387,1,145.92,-18.41,0.15
2477,1,145.56,-18.41,0.33
2566,0,143.79,-18.59,-0.03
2656,0,134.44,-18.66,-0.03
2745,0,123.37,-18.34,-0.03
2835,0,101.42,-17.83,-0.03
2926,0,72.75,-16.07,-0.03
3015,0,43.23,-12.64,-0.03
3105,0,21.91,-8.25,-0.03
3194,0,15.33,-5.90,-0.03
3284,0,13.76,-5.13,-0.03
3373,0,11.58,-4.81,-0.03
3463,0,11.36,-4.48,0.15
3553,0,11.07,-4.46,-0.03
3642,0,10.18,-4.30,-0.03
3733,0,9.91,-4.22,-0.03
3822,0,10.16,-4.17,-0.03
3912,0,9.58,-4.16,-0.03
