# taring - hands off
"# ambient_hPa,1020.82"
"# ambient_C,22.01"
# send f to fire
"# plenum_C_start,22.50"
"# tank_C_start,19.00"
"# plenum_C_end,22.25"
"# tank_C_end,19.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.27,-0.03,0.02
3,0,0.25,-0.03,0.02
89,0,0.54,0.09,-0.16
179,0,0.08,0.09,0.02
268,0,-0.66,0.02,0.02
358,0,-0.19,-0.09,0.02
447,0,0.12,-0.11,0.02
537,1,1.53,-0.14,1.49
626,1,32.00,-1.13,1.30
716,1,76.99,-1.88,1.30
806,1,83.61,-2.23,1.12
895,1,79.33,-2.68,0.76
985,1,77.43,-3.06,0.39
1074,1,70.66,-3.36,0.21
1164,1,64.56,-3.67,0.39
1253,1,61.60,-3.89,0.39
1342,1,59.51,-4.14,0.21
1432,1,59.84,-4.35,0.21
1521,1,59.26,-4.28,0.39
1612,1,58.62,-4.42,0.21
1701,1,58.62,-4.47,0.21
1791,1,58.04,-4.73,0.39
1880,1,57.71,-4.75,0.21
1969,1,58.15,-4.93,0.39
2059,1,57.05,-4.98,0.39
2148,1,58.13,-4.98,0.39
2238,1,58.02,-5.21,0.39
2327,1,56.84,-5.28,0.02
2416,1,57.63,-5.44,0.21
2507,0,55.77,-5.61,-0.16
2596,0,42.92,-5.48,0.02
2686,0,25.67,-4.90,0.02
2775,0,10.01,-4.92,0.21
2865,0,4.51,-4.55,0.02
2954,0,3.99,-4.18,0.02
3043,0,3.41,-4.02,0.02
3133,0,2.21,-3.99,-0.16
3222,0,2.09,-3.81,0.02
3312,0,1.59,-3.68,0.02
3402,0,0.89,-3.62,0.02
3491,0,1.55,-3.52,0.02
3581,0,1.61,-3.51,0.02
3670,0,1.24,-3.48,0.21
3760,0,1.41,-3.52,-0.16
3849,0,1.32,-3.41,0.02
3939,0,1.05,-3.42,0.02
