# taring - hands off
"# ambient_hPa,1020.77"
"# ambient_C,22.02"
# send f to fire
"# plenum_C_start,22.25"
"# tank_C_start,6.25"
"# plenum_C_end,22.00"
"# tank_C_end,-8.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.02,-0.13,0.01
3,0,0.31,-0.15,-0.17
33,0,-1.01,-0.18,0.01
122,0,-0.02,-0.26,0.01
212,0,0.08,-0.19,0.01
301,0,-0.54,-0.18,-0.17
391,0,-0.25,-0.16,-0.17
480,0,2.71,0.00,0.01
571,1,3.99,-0.03,5.33
660,1,47.00,-1.45,2.95
749,1,123.82,-5.87,0.93
839,1,148.29,-10.44,0.38
928,1,150.63,-13.42,0.01
1018,1,144.28,-14.81,0.20
1107,1,141.57,-15.25,0.20
1197,1,138.99,-15.54,0.20
1286,1,139.15,-15.47,0.38
1376,1,139.92,-15.72,0.20
1466,1,139.79,-15.78,0.38
1555,1,139.77,-15.92,0.38
1645,1,141.41,-15.98,0.38
1734,1,140.27,-16.14,0.38
1824,1,139.77,-16.23,0.38
1913,1,139.46,-16.33,0.38
2003,1,139.30,-16.62,0.38
2092,1,139.50,-16.66,0.38
2181,1,137.70,-16.76,0.38
2271,1,136.15,-16.74,0.01
2361,1,137.29,-16.96,0.38
2451,1,138.94,-16.95,0.38
2540,0,138.39,-17.07,-0.17
2629,0,126.82,-17.02,0.01
2719,0,104.05,-16.36,0.01
2808,0,62.06,-14.86,0.01
2898,0,26.13,-11.82,0.01
2987,0,5.71,-7.85,-0.17
3076,0,2.38,-5.37,-0.17
3166,0,4.78,-4.45,0.01
3256,0,3.99,-4.51,0.01
3346,0,3.64,-4.04,-0.17
3435,0,1.61,-3.60,-0.17
3524,0,0.85,-3.99,0.01
3614,0,1.63,-3.70,0.01
3703,0,1.59,-3.34,0.01
3793,0,2.50,-3.53,0.01
3882,0,0.50,-3.13,0.01
3972,0,-0.19,-3.33,0.01
