# taring - hands off
"# ambient_hPa,1020.49"
"# ambient_C,19.09"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,14.75"
"# plenum_C_end,20.25"
"# tank_C_end,14.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.46,-0.01,-0.01
2,0,-0.21,-0.04,-0.01
80,0,0.64,-0.04,-0.01
168,0,0.97,-0.05,-0.01
256,0,1.01,-0.03,-0.01
344,0,0.95,-0.03,-0.01
432,0,0.83,-0.00,-0.01
521,1,0.37,-0.16,11.72
609,1,22.17,-2.41,3.47
697,1,154.98,-6.70,0.72
785,1,222.70,-10.19,0.17
874,1,188.90,-11.49,0.54
962,1,171.57,-12.25,0.36
1050,1,149.87,-12.93,0.17
1138,1,154.73,-13.34,0.36
1226,1,155.72,-13.62,0.17
1314,1,146.68,-13.68,0.36
1402,1,155.72,-13.96,0.36
1491,1,151.09,-14.03,0.36
1579,1,147.88,-14.06,0.17
1667,1,155.10,-14.07,0.36
1755,1,148.15,-14.40,0.17
1843,1,151.02,-14.50,0.36
1931,1,152.22,-14.58,0.17
2019,1,146.29,-14.58,0.17
2107,1,149.95,-14.71,0.17
2196,1,149.23,-14.59,0.36
2284,1,148.29,-14.80,0.17
2372,1,151.00,-14.88,0.17
2461,1,147.74,-14.88,0.36
2549,0,147.26,-15.02,-0.01
2637,0,138.82,-14.84,-0.01
2725,0,132.20,-14.26,-0.01
2813,0,121.42,-13.73,-0.01
2901,0,101.83,-13.18,-0.01
2989,0,79.80,-11.59,-0.01
3077,0,55.58,-9.68,-0.01
3166,0,32.27,-7.32,0.17
3256,0,21.60,-5.66,-0.01
3345,0,17.07,-5.02,-0.01
3436,0,15.04,-4.83,-0.01
3526,0,15.25,-4.51,-0.01
3615,0,13.82,-4.33,-0.01
3705,0,13.18,-4.23,-0.01
3794,0,12.97,-4.17,-0.01
3884,0,11.00,-4.04,0.17
3974,0,10.96,-4.04,-0.01
