# taring - hands off
"# ambient_hPa,1020.38"
"# ambient_C,20.35"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,17.25"
"# plenum_C_end,20.00"
"# tank_C_end,17.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,1.12,-0.07,-0.01
4,0,0.81,-0.06,-0.01
90,0,0.60,-0.01,-0.01
179,0,-0.39,-0.04,-0.01
269,0,-1.16,-0.05,-0.01
358,0,-0.37,-0.10,-0.01
448,0,0.06,-0.05,-0.01
537,1,2.94,-0.09,8.23
627,1,45.84,-2.19,3.83
716,1,113.81,-6.30,1.45
806,1,146.33,-10.36,0.35
896,1,154.62,-13.34,0.35
986,1,149.89,-14.35,0.17
1076,1,152.08,-14.72,0.17
1165,1,149.00,-14.99,0.17
1255,1,147.90,-15.16,-0.01
1344,1,148.94,-15.51,0.17
1434,1,145.19,-15.96,0.17
1523,1,146.93,-16.22,0.35
1613,1,147.07,-16.35,0.17
1702,1,145.73,-16.55,0.17
1792,1,147.24,-16.97,0.35
1882,1,145.85,-16.93,0.17
1972,1,146.27,-17.03,0.17
2061,1,146.18,-17.08,0.17
2151,1,145.71,-17.18,0.35
2240,1,147.05,-17.18,0.35
2330,1,145.94,-17.58,0.17
2419,1,145.79,-17.45,0.35
2509,0,144.86,-17.72,-0.01
2598,0,133.01,-17.68,-0.01
2688,0,125.23,-17.02,-0.01
2778,0,105.31,-16.26,-0.01
2868,0,77.92,-15.26,-0.01
2957,0,50.58,-12.69,-0.01
3047,0,24.97,-9.55,-0.01
3136,0,11.42,-7.09,-0.01
3226,0,8.65,-5.80,-0.01
3315,0,6.87,-5.50,-0.01
3405,0,5.96,-5.32,-0.01
3494,0,4.49,-5.13,-0.01
3584,0,4.61,-4.84,-0.20
3674,0,3.83,-4.88,-0.01
3764,0,2.34,-4.71,-0.20
3853,0,3.31,-4.59,0.17
3943,0,2.77,-4.57,-0.01
