# taring - hands off
"# ambient_hPa,1020.58"
"# ambient_C,21.83"
# send f to fire
"# plenum_C_start,22.50"
"# tank_C_start,21.75"
"# plenum_C_end,22.25"
"# tank_C_end,21.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.10,-0.07,0.04
3,0,-0.06,0.07,-0.14
83,0,-0.74,0.03,0.04
171,0,-1.14,0.03,0.04
259,0,-0.21,-0.07,0.04
347,0,0.97,-0.04,-0.14
435,0,1.43,-0.11,0.04
523,1,0.12,-0.36,12.14
612,1,9.33,-4.34,7.19
700,1,104.65,-13.11,2.06
788,1,201.27,-22.83,0.59
876,1,201.97,-32.92,0.41
964,1,199.39,-37.48,0.41
1052,1,191.71,-39.03,0.41
1140,1,187.10,-39.27,0.41
1228,1,186.19,-39.56,0.22
1316,1,187.43,-39.60,0.41
1404,1,186.00,-39.87,0.41
1492,1,186.56,-39.85,0.41
1580,1,185.84,-40.15,0.22
1668,1,185.80,-40.10,0.41
1756,1,186.13,-40.12,0.41
1844,1,184.41,-40.43,0.41
1933,1,184.80,-40.51,0.59
2021,1,184.87,-40.67,0.59
2109,1,184.25,-40.71,0.41
2197,1,184.93,-40.89,0.41
2285,1,184.25,-40.83,0.41
2373,1,183.89,-41.06,0.41
2461,1,184.99,-41.12,0.41
2549,0,183.67,-41.31,0.04
2637,0,172.56,-40.31,0.04
2725,0,145.98,-35.16,-0.14
2813,0,114.04,-25.18,0.04
2901,0,69.09,-14.25,-0.14
2989,0,25.63,-6.62,0.04
3077,0,6.81,-4.62,-0.14
3165,0,2.67,-3.95,-0.14
3253,0,2.15,-3.62,-0.14
3342,0,0.87,-4.01,0.04
3430,0,3.79,-3.89,0.04
3518,0,3.66,-3.80,0.04
3606,0,3.25,-4.15,-0.14
3694,0,3.68,-4.11,-0.14
3782,0,2.63,-4.18,0.04
3870,0,4.30,-4.34,0.04
3958,0,4.41,-4.06,0.04
